train/circ,valid/circ,test/circ,parameters,train/loss,valid/loss,train/acc,valid/acc,test/acc,train/test
101,108,108,237,22.5659,45.3197,58.42,31.480000000000004,37.03703703703704,1.0693069306930694
102,108,108,237,21.0176,44.4019,67.65,35.19,38.88888888888889,1.0588235294117647
103,108,108,237,21.2385,42.2742,64.08,37.04,37.03703703703704,1.0485436893203883
104,108,108,237,21.9433,44.1538,63.46000000000001,31.480000000000004,36.11111111111111,1.0384615384615385
105,108,108,237,20.6943,46.5129,65.71000000000001,31.480000000000004,31.48148148148148,1.0285714285714285
106,108,108,237,21.5007,42.8564,68.87,37.04,35.18518518518518,1.0188679245283019
107,108,108,237,21.915,46.7887,64.49000000000001,40.739999999999995,46.2962962962963,1.0093457943925233
108,108,108,237,23.5989,39.973,62.03999999999999,37.04,40.74074074074074,1.0
109,108,108,237,23.1896,45.9558,62.39,33.33,39.81481481481482,0.9908256880733946
110,108,108,237,24.8224,44.8552,57.269999999999996,32.41,48.148148148148145,0.9818181818181818
111,108,108,237,23.247,41.9796,63.06,42.59,38.88888888888889,0.972972972972973
112,108,108,237,23.3142,43.9549,69.64,34.260000000000005,33.33333333333333,0.9642857142857143
113,108,108,237,24.5489,43.8977,59.29,36.11,50.0,0.9557522123893806
114,108,108,237,24.3948,40.4966,64.91,37.04,42.592592592592595,0.9473684210526315
115,108,108,237,23.8997,46.0992,63.480000000000004,31.480000000000004,38.88888888888889,0.9391304347826087
116,108,108,237,24.2288,45.4777,69.83,35.19,34.25925925925926,0.9310344827586207
117,108,108,237,24.1324,43.3785,64.1,35.19,29.629629629629626,0.9230769230769231
118,108,108,237,25.3686,42.4775,61.86000000000001,32.41,40.74074074074074,0.9152542372881356
119,108,108,237,25.6157,37.2859,62.18,42.59,49.074074074074076,0.907563025210084
120,108,108,237,27.524,38.477,64.17,35.19,38.88888888888889,0.9
121,108,108,237,25.5004,43.8965,68.60000000000001,34.260000000000005,37.03703703703704,0.8925619834710744
