train/circ,valid/circ,test/circ,parameters,train/loss,valid/loss,train/acc,valid/acc,test/acc,test/train
169,111,110,264,39.8506,43.9846,57.989999999999995,29.73,49.09090909090909,0.650887573964497
172,111,110,264,46.0592,38.9993,40.12,36.04,30.909090909090907,0.6395348837209303
175,111,110,264,44.8647,38.6721,51.43,36.04,50.90909090909091,0.6285714285714286
178,113,111,267,40.133,41.8928,61.8,38.05,42.34234234234234,0.6235955056179775
181,113,111,267,44.6541,40.2415,57.46,33.629999999999995,42.34234234234234,0.6132596685082873
184,113,111,267,48.3559,41.0365,47.83,38.940000000000005,47.74774774774775,0.6032608695652174
187,113,111,267,49.4775,42.4037,54.55,35.4,37.83783783783784,0.5935828877005348
190,113,111,267,46.6208,37.9339,55.26,37.169999999999995,43.24324324324324,0.5842105263157895
193,113,111,267,44.5827,42.5677,59.07,32.74,43.24324324324324,0.5751295336787565
196,113,111,267,49.2139,43.0245,57.14,32.74,45.04504504504504,0.5663265306122449
199,113,111,267,50.6118,37.8642,58.79,38.940000000000005,54.054054054054056,0.5577889447236181
202,113,111,267,52.7969,42.5522,54.459999999999994,34.510000000000005,49.549549549549546,0.5495049504950495
205,113,111,267,48.8578,42.6695,56.589999999999996,36.28,40.54054054054054,0.5414634146341464
208,113,111,267,56.6476,42.394,54.33,35.4,51.35135135135135,0.5336538461538461
211,113,111,267,53.028,43.7994,57.82000000000001,34.510000000000005,46.846846846846844,0.5260663507109005
214,113,111,267,53.4839,40.8665,59.35,32.74,43.24324324324324,0.5186915887850467
217,113,111,267,54.5333,41.2299,60.83,31.86,45.94594594594595,0.511520737327189
219,113,111,267,60.5243,41.0627,48.4,28.32,47.74774774774775,0.5068493150684932
222,113,111,267,64.5985,39.4123,45.5,33.629999999999995,42.34234234234234,0.5
225,113,111,267,61.424,39.938,46.67,32.74,39.63963963963964,0.49333333333333335
228,113,111,267,60.619,42.9126,49.559999999999995,35.4,50.45045045045045,0.4868421052631579
231,113,111,267,61.5061,40.508,51.080000000000005,32.74,38.73873873873874,0.4805194805194805
234,113,111,267,68.5709,37.2064,41.03,30.97,36.93693693693694,0.47435897435897434
237,113,111,267,61.4727,40.162,50.629999999999995,39.82,50.45045045045045,0.46835443037974683
240,113,111,267,61.1349,37.2371,56.67,38.05,44.14414414414414,0.4625
243,113,111,267,71.8388,42.1231,44.03,30.97,34.234234234234236,0.4567901234567901
246,113,111,267,68.0144,40.1238,52.44,31.86,51.35135135135135,0.45121951219512196
249,113,111,267,69.3962,38.8389,48.19,36.28,45.04504504504504,0.4457831325301205
252,113,111,267,62.5612,38.265,60.709999999999994,37.169999999999995,43.24324324324324,0.44047619047619047
255,113,111,267,70.0967,41.8867,46.67,32.74,41.44144144144144,0.43529411764705883
258,113,111,267,68.8251,41.9037,53.49,36.28,47.74774774774775,0.43023255813953487
261,113,111,267,77.4604,38.9805,41.760000000000005,30.09,45.94594594594595,0.42528735632183906
264,113,111,267,72.6841,41.2571,49.62,32.74,41.44144144144144,0.42045454545454547
267,113,111,267,73.7646,40.4207,50.94,31.86,45.04504504504504,0.4157303370786517
270,113,111,267,76.0666,39.0044,49.26,33.629999999999995,45.94594594594595,0.4111111111111111
273,113,111,267,79.8864,38.2541,45.42,35.4,51.35135135135135,0.4065934065934066
276,113,111,267,73.2705,39.0917,52.900000000000006,33.629999999999995,53.153153153153156,0.40217391304347827
279,113,111,267,73.7416,38.4737,55.559999999999995,35.4,39.63963963963964,0.3978494623655914
282,113,111,267,76.4113,41.4636,47.160000000000004,34.510000000000005,42.34234234234234,0.39361702127659576
285,113,111,267,81.1351,37.1518,45.61,37.169999999999995,43.24324324324324,0.3894736842105263
288,113,111,267,79.21,38.3741,51.739999999999995,41.589999999999996,54.054054054054056,0.3854166666666667
291,113,111,267,88.856,38.9341,38.83,31.86,38.73873873873874,0.38144329896907214
294,113,111,267,77.1066,38.2215,52.72,33.629999999999995,49.549549549549546,0.37755102040816324
297,113,111,267,76.7765,36.3715,49.49,37.169999999999995,42.34234234234234,0.37373737373737376
300,113,111,267,79.4732,38.0228,50.0,37.169999999999995,49.549549549549546,0.37
303,113,111,267,80.0239,35.623,55.45,36.28,47.74774774774775,0.36633663366336633
306,113,111,267,82.9846,36.6472,53.269999999999996,45.129999999999995,50.45045045045045,0.3627450980392157
309,113,111,267,90.2462,39.8358,44.01,37.169999999999995,50.45045045045045,0.3592233009708738
312,113,111,267,85.6403,38.6479,49.36,32.74,44.14414414414414,0.3557692307692308
315,113,111,267,90.8249,40.8802,41.9,38.940000000000005,45.94594594594595,0.3523809523809524
318,113,111,267,88.9473,38.8338,46.23,36.28,41.44144144144144,0.3490566037735849
321,113,111,267,86.615,39.2674,51.4,35.4,50.45045045045045,0.34579439252336447
324,113,111,267,84.8252,38.2302,52.470000000000006,40.71,45.94594594594595,0.3425925925925926
327,113,111,267,84.4809,36.2658,55.05,41.589999999999996,49.549549549549546,0.3394495412844037
330,113,111,267,96.0835,39.9324,50.3,37.169999999999995,48.64864864864865,0.33636363636363636
333,113,111,267,90.8575,40.1189,54.35,34.510000000000005,41.44144144144144,0.3333333333333333
336,113,111,267,90.8882,37.6744,53.269999999999996,37.169999999999995,44.14414414414414,0.33035714285714285
339,113,111,267,100.3615,39.6678,44.54,30.97,50.45045045045045,0.3274336283185841
341,113,111,267,89.5123,38.3651,55.13,35.4,39.63963963963964,0.3255131964809384
344,113,111,279,98.2967,39.71,50.870000000000005,37.169999999999995,51.35135135135135,0.3226744186046512
