bin,fidelity,bins_x,P_harr_hist
3.599999999999999867e-01,3.566121842496272620e-03,3.733333333333332948e-01,6.026586712933948431e-03
3.733333333333333504e-01,3.120356612184238543e-03,3.866666666666666585e-01,5.304420255321698474e-03
3.866666666666666585e-01,2.080237741456159029e-03,3.999999999999999667e-01,4.655858142784366493e-03
4.000000000000000222e-01,2.080237741456159029e-03,4.133333333333333304e-01,4.074772228920997552e-03
4.133333333333333304e-01,1.485884101040113592e-03,4.266666666666666385e-01,3.555425281929095599e-03
4.266666666666666941e-01,1.634472511144124951e-03,4.400000000000000022e-01,3.092453993789889138e-03
4.400000000000000022e-01,7.429420505200567959e-04,4.533333333333333104e-01,2.680852367027579397e-03
4.533333333333333104e-01,8.915304606240681551e-04,4.666666666666666186e-01,2.315955479041165860e-03
4.666666666666666741e-01,5.943536404160454367e-04,4.799999999999999822e-01,1.993423624011263912e-03
4.799999999999999822e-01,1.485884101040113592e-04,4.933333333333332904e-01,1.709226832379562300e-03
4.933333333333333459e-01,0.000000000000000000e+00,5.066666666666667096e-01,1.459629767902401003e-03
5.066666666666667096e-01,0.000000000000000000e+00,5.200000000000000178e-01,1.241177002278040162e-03
5.200000000000000178e-01,0.000000000000000000e+00,5.333333333333333259e-01,1.050678667347341652e-03
5.333333333333333259e-01,0.000000000000000000e+00,5.466666666666666341e-01,8.851964848683290671e-04
5.466666666666666341e-01,0.000000000000000000e+00,5.599999999999999423e-01,7.420301738643303446e-04
5.600000000000000533e-01,0.000000000000000000e+00,5.733333333333333615e-01,6.187042355457507414e-04
5.733333333333333615e-01,0.000000000000000000e+00,5.866666666666666696e-01,5.129551158056140647e-04
5.866666666666666696e-01,0.000000000000000000e+00,5.999999999999999778e-01,4.227187452886321199e-04
5.999999999999999778e-01,0.000000000000000000e+00,6.133333333333332860e-01,3.461184570340369946e-04
6.133333333333332860e-01,0.000000000000000000e+00,6.266666666666665941e-01,2.814532816920365353e-04
6.266666666666667052e-01,0.000000000000000000e+00,6.400000000000000133e-01,2.271866203139272754e-04
6.400000000000000133e-01,0.000000000000000000e+00,6.533333333333333215e-01,1.819352947159026549e-04
6.533333333333333215e-01,0.000000000000000000e+00,6.666666666666666297e-01,1.444589754164790109e-04
6.666666666666666297e-01,0.000000000000000000e+00,6.799999999999999378e-01,1.136499871476184852e-04
6.800000000000000488e-01,0.000000000000000000e+00,6.933333333333333570e-01,8.852349193949680776e-05
6.933333333333333570e-01,0.000000000000000000e+00,7.066666666666666652e-01,6.820804977894815661e-05
7.066666666666666652e-01,0.000000000000000000e+00,7.199999999999999734e-01,5.193655684155456826e-05
7.199999999999999734e-01,0.000000000000000000e+00,7.333333333333332815e-01,3.903756129741193679e-05
7.333333333333332815e-01,0.000000000000000000e+00,7.466666666666665897e-01,2.892695669055346530e-05
7.466666666666667007e-01,0.000000000000000000e+00,7.600000000000000089e-01,2.110005289203469660e-05
7.600000000000000089e-01,0.000000000000000000e+00,7.733333333333333171e-01,1.512402462668492749e-05
7.733333333333333171e-01,0.000000000000000000e+00,7.866666666666666252e-01,1.063073757351622122e-05
7.866666666666666252e-01,0.000000000000000000e+00,7.999999999999999334e-01,7.309952039798859303e-06
8.000000000000000444e-01,0.000000000000000000e+00,8.133333333333333526e-01,4.902904208797425736e-06
8.133333333333333526e-01,0.000000000000000000e+00,8.266666666666666607e-01,3.196264961170546330e-06
8.266666666666666607e-01,0.000000000000000000e+00,8.399999999999999689e-01,2.016476270032004912e-06
8.399999999999999689e-01,0.000000000000000000e+00,8.533333333333332771e-01,1.224465169675362084e-06
8.533333333333333881e-01,0.000000000000000000e+00,8.666666666666666963e-01,7.107352979606740208e-07
8.666666666666666963e-01,0.000000000000000000e+00,8.800000000000000044e-01,3.908360123639677914e-07
8.800000000000000044e-01,0.000000000000000000e+00,8.933333333333333126e-01,2.012090796890714743e-07
8.933333333333333126e-01,0.000000000000000000e+00,9.066666666666666208e-01,9.541293944215822540e-08
9.066666666666666208e-01,0.000000000000000000e+00,9.199999999999999289e-01,4.072454086877028892e-08
9.200000000000000400e-01,0.000000000000000000e+00,9.333333333333333481e-01,1.511875365340642867e-08
9.333333333333333481e-01,0.000000000000000000e+00,9.466666666666666563e-01,4.625352281664369470e-09
9.466666666666666563e-01,0.000000000000000000e+00,9.599999999999999645e-01,1.063574064929127467e-09
9.599999999999999645e-01,0.000000000000000000e+00,9.733333333333332726e-01,1.542508276177423359e-10
9.733333333333333837e-01,0.000000000000000000e+00,9.866666666666666918e-01,9.514256973022279579e-12
